timestamp,headline,label,confidence,positivity_score
Today 10:10AM,"Trump Trade: President said to weigh possible U.S. strike against Iran


(TipRanks)",negative,0.9993,0.0007
08:00AM,"Should You Forget Apple and Buy 2 Artificial Intelligence (AI) Stocks Instead?


(Motley Fool)",negative,0.9998,0.0002
06:20AM,"Should Schwab U.S. Large-Cap Growth ETF (SCHG) Be on Your Investing Radar?


(Zacks)",negative,0.9998,0.0001
06:05AM,"Why UBS Is the Only Wirehouse to Allow Podcasting


(The Daily Upside)",negative,0.9994,0.0001
05:07AM,"'It's not taxed at all': Warren Buffett shared the 'best investment' you can make to fight inflation


(Moneywise)",negative,0.9762,0.0006
04:50AM,"Is This the Real Reason Apple Is So Far Behind Its Rivals on Artificial Intelligence?


(Motley Fool)",negative,0.9917,0.0033
03:45AM,"The Best Warren Buffett Stocks to Buy With $1,000 Right Now


(Motley Fool)",negative,0.6711,0.0005
Jun-18-25 10:30PM,"Trump's Plan To Take On Apple, Samsung With A Smartphone Is A 'Fairytale': Dan Ives Warns  It Could Be A Money-Loser For His Company


(Benzinga)",positive,0.9998,0.9998
08:52PM,"Apple interested in using AI to design custom chips- Reuters, citing exec


(Investing.com)",negative,0.9999,0.0
08:37PM,"Analysts reset Qualcomm stock price target, send warning


(TheStreet)",negative,0.9842,0.0123
07:16PM,"Apple eyes using AI to design its chips, technology executive says


(Reuters)",negative,1.0,0.0
04:59PM,"Texas Instruments Plans To Invest $60B in US Amid Trump Push for Domestic Manufacturing


(Investopedia)",negative,0.9999,0.0001
01:53PM,"A glitch is turning Threads into a literal echo chamber


(TechCrunch)",negative,0.9998,0.0002
01:42PM,"Trade Tracker: Kevin Simpson buys Jabil, more Caterpillar and sells Apple covered calls


(CNBC TV)",negative,0.9999,0.0
01:22PM,"Adobe vs. Apple: Which AI-Driven Tech Stock is a Better Buy Now?


(Zacks)",neutral,0.9999,0.0
12:53PM,"Apple Just Erased a $300 Million Problem--But a $500M One Still Lurks


(GuruFocus.com)",positive,0.9817,0.9817
12:45PM,"Texas Instruments to invest more than $60 billion to make semiconductors in the US


(CNN Business)",negative,1.0,0.0
12:44PM,"Credit Card Annual Fees Are Going Up. What It Means for the Stocks.


(Barrons.com)",negative,0.957,0.0001
12:21PM,"The Trump phone probably wont be built in America (and may never be)


(Yahoo Finance)",negative,1.0,0.0
12:04PM,"Disney's New Amazon Deal: Does Ad Targeting Upgrade Justify a Buy?


(Zacks)",negative,0.9833,0.0067
11:28AM,"Texas Instruments commits $60B to domestic chip manufacturing


(CIO Dive)",negative,1.0,0.0
11:13AM,"20 companies in the S&P 500 whose investors have gained the greatest rewards from stock buybacks


(MarketWatch)",neutral,1.0,0.0
10:30AM,"Apple Just Snatched Back the Top Spot in China Smartphone Sales. Should You Buy AAPL Stock Here?


(Barchart)",positive,0.9964,0.9964
09:55AM,"Analysts Cover Apple (NASDAQ:AAPL) After WWDC, Citi Maintains Buy


(Insider Monkey)",negative,0.9954,0.0003
09:32AM,"Microsoft-OpenAI Rift May Cap Stock Upside Potential


(MarketBeat)",neutral,1.0,0.0
08:59AM,"Texas Instruments plans to invest more than $60 billion to manufacture billions of foundational semiconductors in the U.S.


(PR Newswire)",negative,1.0,0.0
08:31AM,"The Top 5 Analyst Questions From Apple's Q1 Earnings Call


(StockStory)",positive,0.9907,0.9907
07:54AM,"Trump Flexes Security Powers to Keep Global Tariff Goal Alive


(Bloomberg)",negative,0.7369,0.0002
07:25AM,"Broadcoms 340% Rally Has Wall Street Debating If It's Magnificent Seven Material


(Bloomberg)",positive,0.9789,0.9789
06:20AM,"Should Schwab Fundamental U.S. Large Company ETF (FNDX) Be on Your Investing Radar?


(Zacks)",negative,0.9999,0.0001
06:20AM,"Should iShares S&P 500 Value ETF (IVE) Be on Your Investing Radar?


(Zacks)",negative,0.9999,0.0001
06:20AM,"Should You Invest in the Fidelity MSCI Information Technology Index ETF (FTEC)?


(Zacks)",negative,1.0,0.0
05:30AM,"Its Time for UnitedHealth to Get Transparent With Its Accounting. But Will It?


(The Wall Street Journal)",negative,0.9999,0.0001
04:46AM,"Best Stock to Buy Right Now: Amazon vs. Apple


(Motley Fool)",neutral,0.9002,0.0001
04:00AM,"Bull of the Day: Credo Technology Group (CRDO)


(Zacks)",negative,1.0,0.0
03:45AM,"Prediction: 2 Stocks That'll Be Worth More Than Apple 5 Years From Now


(Motley Fool)",negative,0.9999,0.0001
03:15AM,"Apple WWDC25  Enhancing ecosystem value over single AI agent


(Verdict)",neutral,1.0,0.0
03:00AM,"AI Could Create the First $10 Trillion Company. This Stock Pro Lays Out How.


(Barrons.com)",negative,1.0,0.0
02:00AM,"Companies Keep Issuing 'Stupid' Earnings for One Simple Reason: It Makes Them Look Better


(Barrons.com)",neutral,0.8964,0.0009
12:44AM,"US-China Tech Fight Widens After Taiwan Blacklists Huawei


(Bloomberg)",negative,0.941,0.0444
Jun-17-25 09:31PM,"Donald Trump Wants You To Use His New $47 Mobile Plan With A $499 Gold Phone Made In America


(Benzinga)",negative,1.0,0.0
04:45PM,"Alibaba and Apple team up on local AI models for China


(GuruFocus.com)",negative,1.0,0.0
04:27PM,"The Trump Family Is Betting Big on Mobile Phones. Should Apple Stock Investors Be Worried?


(barchart.com)",positive,1.0,1.0
01:21PM,"Is ARM's 22% Plummet Over a Year Offering a Fair Price for the Stock?


(Zacks)",negative,0.9958,0.0042
12:24PM,"Dutch court says Apple abused App Store, hits it with fines


(GuruFocus.com)",positive,0.9996,0.9996
12:18PM,"Streaming Finally Outpaces Traditional TV. The Leading Platform Might Surprise You.


(Barrons.com)",neutral,1.0,0.0
11:20AM,"TD Cowen Maintains Buy on Apple (AAPL), Highlights Apple Intelligence and 2nm Chip Potential.


(Insider Monkey)",neutral,1.0,0.0
11:11AM,"Apple supplier Jabil plans $500M venture for AI infrastructure


(FreightWaves)",negative,1.0,0.0
10:22AM,"Trump says he'll extend TikTok sales deadline for third time


(Yahoo Finance)",negative,0.9999,0.0
10:22AM,"Trump says he'll extend TikTok sale deadline for third time


(Yahoo Finance)",negative,1.0,0.0
09:53AM,"BofA cuts Qualcomm target on near-term smartphone chip sales risks


(Investing.com)",positive,1.0,1.0
09:36AM,"Checking In on Apple and Opendoor


(Motley Fool)",negative,0.9999,0.0001
08:18AM,"US court denies Apples request to dismiss antitrust case concerning iCloud


(TechCrunch)",negative,0.9856,0.0139
07:37AM,"Netherlands court rules Apple abused App Store dominance


(Verdict)",positive,1.0,1.0
07:10AM,"Shiji and IPORT join forces for integrated iOS mobility solution for hotels


(Hotel Management Network)",negative,0.9983,0.0
06:40AM,"Israel and Iran Conflict Tests Stock Markets. Why Investors Should Look Past That.


(Barrons.com)",negative,0.7831,0.2167
04:45AM,"3 Ultra-Reliable Dividend-Paying Warren Buffett Stocks to Buy for the Second Half of 2025


(Motley Fool)",neutral,1.0,0.0
03:45AM,"Buffett Wouldn't Buy AI Yet -- but These 2 Artificial Intelligence (AI) Stocks Fit His Playbook


(Motley Fool)",negative,1.0,0.0
03:00AM,"Aqara Smart Lock U200 Lite Brings Smart Access Control to More European Households


(Business Wire)",negative,0.9993,0.0
02:49AM,"Häagen-Dazs, Starbucks Mull Overhauls in China to Fend Off Powerful Local Rivals


(Bloomberg)",positive,0.7061,0.7061
12:27AM,"Goldman Sachs Recommends Buying Apple, Expects Stock to Climb


(Insider Monkey)",neutral,0.8122,0.0
