Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,,,,,
Date,,,,,,,,,,
2010-01-04,23.211448669433594,23.32394328526957,22.941460447069932,22.963959942415787,38409100,,,,0.0,0.0
2010-01-05,23.21893882751465,23.32393500473928,22.978950017480308,23.136443568094183,49749600,,,,0.0005975054879492347,0.00011950109758984695
2010-01-06,23.076444625854492,23.30893358924217,22.888953203344357,23.158939879055648,58182400,,,,-0.010308231432993864,-0.001966045408526895
2010-01-07,22.83646011352539,23.023951571171917,22.641468825919446,22.971452761455996,50559700,,,,-0.037879203150207985,-0.009148676956863113
2010-01-08,22.993946075439453,23.1589379988929,22.678960453976753,22.70895976575697,51197400,,,,-0.046485737269978955,-0.01661608901948628
2010-01-11,22.70146942138672,23.068952561535546,22.588974816107935,23.031453406144944,68754700,,,,-0.07603046731936303,-0.02849896467946163
2010-01-12,22.551467895507812,22.798956514081294,22.43147350046891,22.61146509302726,65912100,,,,-0.11027753745871038,-0.04485467923531138
2010-01-13,22.76146125793457,22.888955495225353,22.506472783352997,22.69396422463673,51863500,,,,-0.11910095623517236,-0.05970393463528358
2010-01-14,23.21893882751465,23.32393500473928,22.693963663176064,22.731461378326625,63228100,,,,-0.08816267814498246,-0.06539568333722337
2010-01-15,23.143943786621094,23.428930145720365,23.031447778384326,23.308935738684234,79913200,,,,-0.06890109397870958,-0.06609676546552061
2010-01-19,23.323930740356445,23.42892546793844,23.008945127164584,23.06144249095558,46575700,,,,-0.038666977949564085,-0.06061080796232931
2010-01-20,22.941452026367188,23.203940320602083,22.731461104890048,23.106443973669574,54849500,,,,-0.04504975336804051,-0.05749859704347155
2010-01-21,22.5064697265625,23.0389446608743,22.498969898276222,22.95644941061722,73086700,,,,-0.08423655855647638,-0.06284618934607251
2010-01-22,21.719003677368164,22.64896230533659,21.62900860398148,22.49896860909758,102004600,,,,-0.17679631516626415,-0.08563621451011084
2010-01-25,21.988994598388672,22.24398305666025,21.824002655573096,21.928997398233363,63373000,,,33.86115696818855,-0.22576213288265023,-0.11366139818461873
2010-01-26,22.123991012573242,22.386479327625224,21.816505150224025,21.899001845640825,66639900,,,36.01531409684246,-0.2507839327211343,-0.14108590509192187
2010-01-27,22.251487731933594,22.363982327920734,21.76401019569172,22.01149887904199,63949500,,,39.42312159931528,-0.2573592919308467,-0.16434058245970684
2010-01-28,21.86900520324707,22.401481728133895,21.666514069961387,22.378982236508904,117513700,,,38.03339255002159,-0.2900894840054029,-0.18949036276884607
2010-01-29,21.134033203125,22.438973321577983,20.744050704153942,22.423973664591554,193888500,,,29.87018724216631,-0.3710571788427224,-0.22580372598362133
2010-02-01,21.30652618408203,21.359023556086974,20.939043149601325,21.291526526238876,85931100,22.543970680236818,,34.49998685994139,-0.41650471131593036,-0.26394392305008313
2010-02-02,21.344022750854492,21.374022064928134,21.10403396004947,21.276527155080853,54413700,22.45059938430786,,36.23933957420465,-0.4443740808750185,-0.3000299546150702
2010-02-03,21.47151756286621,21.591513392001353,21.089036311073563,21.19403105231499,61397900,22.36322832107544,,35.01741280306253,-0.45097443862123043,-0.33021885141630225
2010-02-04,20.879047393798828,21.37402469331355,20.856547905476813,21.28402817047169,77850000,22.253358459472658,,23.64869712402829,-0.49826892682524715,-0.36382886649809126
2010-02-05,21.0140438079834,21.20903510386308,20.67655859772119,20.99904414742811,80960100,22.162237644195557,,26.333411467395848,-0.518875789935322,-0.39483825118553745
2010-02-08,20.78904914855957,21.05903726427011,20.676554577162204,21.00653989298108,52820600,22.05199279785156,,22.112355683883166,-0.5470559456600981,-0.4252817900804496
2010-02-09,21.00653839111328,21.254027002671656,20.811547147090625,20.97653907798088,59195800,21.96724624633789,,27.911046001198457,-0.5455505902474762,-0.44933555011385495
2010-02-10,20.99154281616211,21.179034268357675,20.87904823093402,21.021542135127604,48591300,21.889249992370605,,30.871338195669367,-0.5393503081938356,-0.4673385017298511
2010-02-11,21.089033126831055,21.29902257760751,20.774047520220524,20.94653926348571,65993700,21.80562858581543,,40.36700833203061,-0.5205690902557762,-0.4779846194350362
2010-02-12,20.9465389251709,21.04403382139303,20.684050685494018,20.856542425973235,81117200,21.692008590698244,,33.41286783696296,-0.511289108354056,-0.4846455172188402
2010-02-16,21.360950469970703,21.376020268274683,21.112304546495277,21.19518556289704,51935600,21.60285892486572,,38.85023219102373,-0.46513333994726125,-0.4807430817645244
2010-02-17,21.541784286499023,21.586992245426543,21.368485912997617,21.496576327571507,45882900,21.513751602172853,,39.78877703748872,-0.4092452586525326,-0.46644351714212606
2010-02-18,21.828100204467773,21.873309594169008,21.48150350623437,21.541781255367788,42856500,21.45808401107788,,49.39470811304502,-0.3379545204936001,-0.4407457178124209
2010-02-19,21.677412033081055,21.79043266165071,21.61713426870155,21.692481833459745,44451800,21.416631126403807,,59.72171888106065,-0.2902693288216547,-0.41065044001426765
2010-02-22,21.647266387939453,21.805496373463953,21.5869886403908,21.730148829744422,36707100,21.413044261932374,,56.423444064266796,-0.2520060041461356,-0.3789215528406413
2010-02-23,21.345882415771484,21.722618781342554,21.16504913275359,21.609598159098272,52266200,21.380888652801513,,50.031885022934325,-0.24319777884229055,-0.3517767980409712
2010-02-24,21.571924209594727,21.692481171811853,21.383556022012346,21.48904318431043,43165900,21.353285312652588,,51.66525580824473,-0.2154934389534695,-0.3245201262234709
2010-02-25,21.549325942993164,21.586999014389935,21.11231170396711,21.300679935222057,48735300,21.318177223205566,,63.70780319561,-0.19313470459336557,-0.2982430418974498
2010-02-26,21.602066040039062,21.73769137904454,21.481510502508723,21.586996238563927,40370600,21.304830265045165,,62.444265941171956,-0.16920902514981506,-0.27243623854792287
2010-03-01,21.865781784057617,21.888385049100574,21.49658027129053,21.677413577311018,43805400,21.341417694091795,,72.41937226170694,-0.12749837335466907,-0.24344866550927213
2010-03-02,21.443824768066406,22.076741727191372,21.278061350061147,21.910978309186113,93123900,21.348282623291016,,58.39059695680562,-0.1270265035844993,-0.22016423312431757
2010-03-03,21.443824768066406,21.55684678280163,21.360943777631086,21.48149925202302,48442100,21.353272724151612,,58.72856013322202,-0.12520920956417214,-0.2011732284122885
2010-03-04,21.571924209594727,21.58699400951377,21.30067499672805,21.4438337845533,42890600,21.358293056488037,,59.210466958967736,-0.11213975926035502,-0.1833665345819018
2010-03-05,21.541784286499023,21.609596943457856,21.413693871925137,21.594527144770314,56001800,21.391429901123047,,61.86186597094892,-0.10302653981901244,-0.16729853562932395
2010-03-08,21.571924209594727,21.797966896974717,21.473973384391385,21.48904318431043,39414500,21.419323921203613,,54.964555878015126,-0.09230813710583519,-0.1523004559246262
2010-03-09,21.70001983642578,21.933597479757026,21.511651603688975,21.519186505454716,50271600,21.464872455596925,,53.81831202818226,-0.07264012899809558,-0.1363683905393201
2010-03-10,21.828100204467773,21.933587343302424,21.700009807917407,21.745219197618646,44891400,21.50595054626465,,50.0,-0.04618567586192057,-0.11833184760384019
